file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
docs/project-context.md,docs/project-context.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/project-requirements.md,docs/project-requirements.md,2026-04-29T19:49:19+07:00,2026-04-29T21:27:31+07:00,2,2,1,0.00,
docs/project-roadmap.md,docs/project-roadmap.md,2026-04-29T19:49:19+07:00,2026-04-29T21:27:31+07:00,2,2,1,0.00,
docs/project-structure.md,docs/project-structure.md,2026-04-29T21:27:31+07:00,2026-04-29T21:40:28+07:00,2,2,1,0.00,
docs/runbooks/AGENTS.md,docs/runbooks/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/runbooks/incident-commerce.md,docs/runbooks/incident-commerce.md,2026-04-26T16:31:35+07:00,2026-04-29T21:40:28+07:00,2,2,1,0.00,
docs/runbooks/launch-checklist.md,docs/runbooks/launch-checklist.md,2026-05-21T12:46:21+07:00,2026-05-21T12:46:21+07:00,1,1,1,0.00,
docs/runbooks/login-auth.md,docs/runbooks/login-auth.md,2026-04-26T16:31:35+07:00,2026-04-29T19:49:19+07:00,2,2,1,0.00,
docs/shop-testing-plan.md,docs/shop-testing-plan.md,2026-04-29T21:20:00+07:00,2026-04-29T21:27:31+07:00,2,2,1,0.00,
docs/sql/AGENTS.md,docs/sql/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/tasks/login-hardening.md,docs/tasks/login-hardening.md,2026-05-06T23:50:05+07:00,2026-05-06T23:50:05+07:00,1,1,1,0.00,
docs/tasks/login.md,docs/tasks/login.md,2026-05-06T23:50:05+07:00,2026-05-06T23:50:05+07:00,1,1,1,0.00,
drizzle.config.ts,drizzle.config.ts,2026-03-04T14:15:16+07:00,2026-04-09T13:44:30+07:00,4,4,2,0.00,
drizzle/0000_nebulous_paladin.sql,drizzle/0000_nebulous_paladin.sql,2026-03-10T00:02:29+07:00,2026-03-10T00:02:29+07:00,1,1,1,0.90,schema
drizzle/0001_workable_morlocks.sql,drizzle/0001_workable_morlocks.sql,2026-03-10T00:02:29+07:00,2026-03-10T00:02:29+07:00,1,1,1,0.90,schema
drizzle/0002_redundant_proteus.sql,drizzle/0002_redundant_proteus.sql,2026-04-03T02:15:25+07:00,2026-04-03T02:15:25+07:00,1,1,1,0.90,schema
drizzle/0003_ambitious_bushwacker.sql,drizzle/0003_ambitious_bushwacker.sql,2026-04-03T02:15:25+07:00,2026-04-03T02:15:25+07:00,1,1,1,0.90,schema
drizzle/0004_quick_chatbox.sql,drizzle/0004_quick_chatbox.sql,2026-04-03T02:15:25+07:00,2026-04-03T02:15:25+07:00,1,1,1,0.90,schema
drizzle/0005_chat_admin_tools.sql,drizzle/0005_chat_admin_tools.sql,2026-04-03T18:54:16+07:00,2026-04-03T18:54:16+07:00,1,1,1,0.90,schema
drizzle/0006_targeted_promo_system.sql,drizzle/0006_targeted_promo_system.sql,2026-04-06T23:35:28+07:00,2026-04-06T23:35:28+07:00,1,1,1,0.90,schema
drizzle/0007_encryptable_columns_widen.sql,drizzle/0007_encryptable_columns_widen.sql,2026-04-06T23:35:28+07:00,2026-04-06T23:35:28+07:00,1,1,1,0.90,schema
drizzle/0008_season_pass.sql,drizzle/0008_season_pass.sql,2026-04-06T23:35:28+07:00,2026-04-06T23:35:28+07:00,1,1,1,0.90,schema
drizzle/0009_season_pass_rewards.sql,drizzle/0009_season_pass_rewards.sql,2026-04-06T23:35:28+07:00,2026-04-06T23:35:28+07:00,1,1,1,0.90,schema
drizzle/0010_season_pass_reward_images.sql,drizzle/0010_season_pass_reward_images.sql,2026-04-06T23:35:28+07:00,2026-04-29T19:49:19+07:00,2,2,1,0.90,schema
drizzle/0011_user_ticket_balance.sql,drizzle/0011_user_ticket_balance.sql,2026-04-06T23:35:28+07:00,2026-04-29T19:49:19+07:00,2,2,1,0.90,schema
drizzle/0012_promo_code_types.sql,drizzle/0012_promo_code_types.sql,2026-04-09T01:28:19+07:00,2026-04-09T01:28:19+07:00,1,1,1,0.90,schema
drizzle/0013_help_videos.sql,drizzle/0013_help_videos.sql,2026-04-12T20:06:35+07:00,2026-04-12T20:06:35+07:00,1,1,1,0.90,schema
drizzle/0014_user_pin_security.sql,drizzle/0014_user_pin_security.sql,2026-04-20T16:39:41+07:00,2026-04-20T16:39:41+07:00,1,1,1,0.90,schema
drizzle/0015_season_pass_runtime_backfill.sql,drizzle/0015_season_pass_runtime_backfill.sql,2026-04-29T19:49:19+07:00,2026-04-29T19:49:19+07:00,1,1,1,0.90,schema
drizzle/0016_query_path_index_tuning.sql,drizzle/0016_query_path_index_tuning.sql,2026-04-29T19:49:19+07:00,2026-04-29T19:49:19+07:00,1,1,1,0.90,schema
drizzle/0017_order_status_index_alignment.sql,drizzle/0017_order_status_index_alignment.sql,2026-04-29T19:49:19+07:00,2026-04-29T19:49:19+07:00,1,1,1,0.90,schema
drizzle/0018_email_verification_tokens.sql,drizzle/0018_email_verification_tokens.sql,2026-05-06T23:50:05+07:00,2026-05-06T23:50:05+07:00,1,1,1,0.90,schema
drizzle/0019_product_stock_count.sql,drizzle/0019_product_stock_count.sql,2026-05-20T10:52:30+07:00,2026-05-20T10:52:30+07:00,1,1,1,0.90,schema
drizzle/0020_user_address_profiles.sql,drizzle/0020_user_address_profiles.sql,2026-05-20T10:52:30+07:00,2026-05-20T10:52:30+07:00,1,1,1,0.90,schema
drizzle/AGENTS.md,drizzle/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.90,schema
drizzle/README.md,drizzle/README.md,2026-04-03T02:15:25+07:00,2026-04-03T02:15:25+07:00,1,1,1,0.90,schema
eslint.config.mjs,eslint.config.mjs,2026-01-17T11:43:30+07:00,2026-05-20T10:52:30+07:00,4,4,2,0.00,
eslint_report.txt,eslint_report.txt,2026-03-13T07:16:25+07:00,2026-03-18T12:01:52+07:00,2,2,1,0.00,
export-all.bat,export-all.bat,2026-03-10T00:02:29+07:00,2026-03-18T12:01:52+07:00,2,2,1,0.00,
fetch-sonar.js,fetch-sonar.js,2026-03-13T07:16:25+07:00,2026-03-18T12:01:52+07:00,2,2,1,0.00,
hooks/AGENTS.md,hooks/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
hooks/use-mobile.ts,hooks/use-mobile.ts,2026-01-22T13:45:34+07:00,2026-04-20T16:39:41+07:00,4,4,2,0.00,
hooks/useCarouselAutoScroll.ts,hooks/useCarouselAutoScroll.ts,2026-05-20T10:52:30+07:00,2026-05-20T10:52:30+07:00,1,1,1,0.00,
hooks/useCsrfToken.ts,hooks/useCsrfToken.ts,2026-01-22T13:45:34+07:00,2026-05-20T10:52:30+07:00,3,3,2,0.00,
hooks/useCurrencySettings.ts,hooks/useCurrencySettings.ts,2026-04-14T12:27:01+07:00,2026-04-20T16:39:41+07:00,2,2,1,0.00,
hooks/useDashboardData.ts,hooks/useDashboardData.ts,2026-02-13T01:05:32+07:00,2026-02-13T01:05:32+07:00,2,2,1,0.00,
